Acteur,Nombre de films et séries,Films et séries
,13,"The Adventures of Huckleberry Finn, Invaders from Space, Tarzan and the Trappers, Between Two Rivers, The Cape Canaveral Monsters, Die Falle, Die Lokalbahn, Der Vogelhändler, Das Kartenspiel, Küß mich Kätchen, Die Sendung der Lysistrata, Twenty-Four Hours in a Woman's Life, Victoria Regina, Belle Sommers, The Laughmakers, Der Rosenkavalier, Schule der Geläufigkeit, Stück für Stück, The Dark Did Not Conquer, Guernica - Jede Stunde verletzt und die letzte tötet, Hedda Gabler, Invincible Mr. Disraeli, The Kremlin, Die Mondvögel, The Slowest Gun in the West, Zweierlei Maß, Actis, Atomic Rulers, Attack of the Mayan Mummy, Carol for Another Christmas, The Creeping Terror, Culloden, Evil Brain from Outer Space, FBI Code 98, Fanfare for a Death Scene, Flug in Gefahr, Haben, Hamlet at Elsinore, In der Sache J. Robert Oppenheimer, Komödie der Irrungen, Minna von Barnhelm, Nightmare in Chicago, Die Physiker, Rudolph the Red-Nosed Reindeer, A Charlie Brown Christmas, Die eigenen vier Wände, Hercules and the Princess of Troy, Das Landhaus, Leinen aus Irland, The Man in a Looking Glass, Verhör am Nachmittag, Who Has Seen the Wind?, CBS Playhouse: The Glass Menagerie, Der Beginn, Charlie Brown's All Stars!, Curse of the Swamp Creature, The Dangerous Days of Kiowa Jones, The Doomsday Flight, How the Grinch Stole Christmas!, Eh, Joe?, Fame Is the Name of the Game, Francis of Assisi, Die Geschichte des Rittmeisters Schach von Wuthenow, In the Year 2889, Isadora, It's the Great Pumpkin, Charlie Brown, Koroshi, Mars Needs Women, McNab's Lab, Myglaren, The Poppy Is Also a Flower, The Taking of Power by Louis XIV, Pälsen, Scalplock, Die spanische Fliege, Valley of Mystery, Sieben Wochen auf dem Eis, The Borgia Stick, Bratkartoffeln inbegriffen, Code Name: Heraclitus, Prescription: Murder, Companions in Nightmare, A Flea in Her Ear, Ein Florentiner Hut, Frank V. - Die Oper einer Privatbank, Frühling in Baden-Baden, How I Spent My Summer Vacation, Ironside, Das kleine Teehaus, Il latitante, The Longest Hundred Miles, Lord Arthur Saviles Verbrechen, Der Mann aus dem Bootshaus, The Other World of Winston Churchill, Palme im Rosengarten, The Scorpio Letters, Soldier in Love, The Star Wagon, Stranger on the Run, Sullivan's Empire, Tonys Freunde, Wings of Fire, You're in Love, Charlie Brown, Zug der Zeit, Altaich, The Strange Case of Dr. Jekyll and Mr. Hyde, Einer fehlt beim Kurkonzert, Escape to Mindanao, Ganze Tage in den Bäumen, He's Your Dog, Charlie Brown, The Immortal Story, Istanbul Express, Knüpfe das Netz nach dem Fisch, König Richard II, The Little Drummer Boy, The Rise and Fall of the Third Reich, Ein Sarg für Mr. Holloway, Selbstbedienung, Shadow Over Elveron, Shadow on the Land, Something for a Lonely Man, The Sound of Anger, The Sunshine Patriot, Verteufelte Zeiten, The Young Loner, Al Capone im deutschen Wald, Any Second Now, Der Attentäter, Your Money or Your Wife, Night Games, Fuses, The Entertainer, Nevada Smith, The Littlest Angel"
Bill Melendez,8,"A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown, He's Your Dog, Charlie Brown"
Snoopy,8,"A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown, He's Your Dog, Charlie Brown"
Gabrielle DeFaria Ritter,7,"Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown, He's Your Dog, Charlie Brown"
Ann Altieri,7,"A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown"
Sally Brown,6,"A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown"
Sally Dryer,6,"A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown, He's Your Dog, Charlie Brown"
Violet,6,"A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown"
Schroeder,6,"Tarzan and the Trappers, A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown"
Cathy Steinberg,6,"A Charlie Brown Christmas, Charlie Brown's All Stars!, It's the Great Pumpkin, Charlie Brown, You're in Love, Charlie Brown"
